Club,Division,Nation of Club,Club Reputation
Sp. Belgrano,Argentine Third Division,Argentina,National
Gimnasia (CdU),Argentine Third Division,Argentina,National
Dep. Armenio,Argentine Third Division,Argentina,National
Juv. Unida Universitario,Argentine Third Division,Argentina,National
Unión (Sunchales),Argentine Third Division,Argentina,National
Sacachispas,Argentine Third Division,Argentina,National
Villa San Carlos,Argentine Third Division,Argentina,National
Talleres (RE),Argentine Third Division,Argentina,National
Juv. Unida (Gualeguaychú),Argentine Third Division,Argentina,National
Ferro (GP),Argentine Third Division,Argentina,National
San Miguel,Argentine Third Division,Argentina,National
Estudiantes (San Luis),Argentine Third Division,Argentina,National
Dep. Español,Argentine Fourth Division,Argentina,National
Juv. Antoniana,Argentine Fourth Division,Argentina,National
Colegiales,Argentine Third Division,Argentina,National
Sp. Las Parejas,Argentine Third Division,Argentina,National
Sp. Italiano,Argentine Fourth Division,Argentina,National
Dep. Merlo,Argentine Third Division,Argentina,National
Sol de Mayo,Argentine Third Division,Argentina,National
Defensores Unidos,Argentine Third Division,Argentina,National
Camioneros,Argentine Third Division,Argentina,National
Guaraní Antonio Franco,Argentine Fourth Division,Argentina,National
Def. de Pronunciamiento,Argentine Third Division,Argentina,National
J.J. Urquiza,Argentine Third Division,Argentina,National
El Porvenir,Argentine Fourth Division,Argentina,National
Argentino (Quilmes),Argentine Third Division,Argentina,National
Atl. Paraná,Argentine Fourth Division,Argentina,National
Dep. Laferrere,Argentine Fourth Division,Argentina,National
Excursionistas,Argentine Fourth Division,Argentina,National
Libertad (Sunchales),Argentine Fourth Division,Argentina,National
Sansinena,Argentine Third Division,Argentina,National
San Martín (Mza),Argentine Fourth Division,Argentina,National
Midland,Argentine Fourth Division,Argentina,National
Sp. Peñarol (Chimbas),Argentine Third Division,Argentina,National
Dep. Mandiyú,Argentine Fifth Division,Argentina,National
Círculo Deportivo,Argentine Third Division,Argentina,National
Cañuelas,Argentine Third Division,Argentina,National
Central Córdoba (R),Argentine Fourth Division,Argentina,National
Rivadavia (Lincoln),Argentine Fifth Division,Argentina,National
Altos Hornos Zapla,Argentine Fourth Division,Argentina,National
San Martín (Formosa),Argentine Third Division,Argentina,National
Dep. Roca,Argentine Fifth Division,Argentina,Regional
C.A.I.,Argentine Fourth Division,Argentina,Regional
Luján,Argentine Fourth Division,Argentina,Regional
Sp. Patria,Argentine Fifth Division,Argentina,Regional
Dock Sud,Argentine Fourth Division,Argentina,Regional
Huracán (CR),Argentine Fifth Division,Argentina,Regional
Concepción F.C.,Argentine Fifth Division,Argentina,Regional
Independiente (Chivilcoy),Argentine Third Division,Argentina,Regional
Ituzaingó,Argentine Fourth Division,Argentina,Regional
Argentino (Merlo),Argentine Fourth Division,Argentina,Regional
L. N. Alem,Argentine Fourth Division,Argentina,Regional
San Martín (B),Argentine Fourth Division,Argentina,Regional
Sp. Barracas,Argentine Fifth Division,Argentina,Regional
General Paz Jrs.,Argentine Fourth Division,Argentina,Regional
Berazategui,Argentine Fourth Division,Argentina,Regional
Gral. Lamadrid,Argentine Fourth Division,Argentina,Regional
San Lorenzo de Alem,Argentine Fifth Division,Argentina,Regional
Def. Cambaceres,Argentine Fifth Division,Argentina,Regional
Liniers,Argentine Fifth Division,Argentina,Regional
Victoriano Arenas,Argentine Fourth Division,Argentina,Regional
Talleres (Perico),Argentine Fourth Division,Argentina,Regional
Atlas (ARG),Argentine Fourth Division,Argentina,Regional
Ñuñorco,Argentine Fifth Division,Argentina,Regional
Liniers (BB),Argentine Fourth Division,Argentina,Regional
Independiente (Neuquén),Argentine Fifth Division,Argentina,Regional
Jorge Newbery (CR),Argentine Fifth Division,Argentina,Regional
Atl. Concepción (Tucumán),Argentine Fifth Division,Argentina,Regional
Sol de América (Formosa),Argentine Fourth Division,Argentina,Regional
Sp. Villa Cubas,Argentine Fifth Division,Argentina,Regional
Ciudad de Bolívar,Argentine Third Division,Argentina,Regional
Racing (Olavarría),Argentine Fourth Division,Argentina,Regional
Pacífico (Gral. Alvear),Argentine Fifth Division,Argentina,Regional
Alumni (VM),Argentine Fifth Division,Argentina,Regional
Boxing Club,Argentine Fourth Division,Argentina,Regional
Kimberley,Argentine Fifth Division,Argentina,Regional
Sp. Guzmán,Argentine Fifth Division,Argentina,Regional
Atenas (Río Cuarto),Argentine Fourth Division,Argentina,Regional
Huracán (San Rafael),Argentine Fifth Division,Argentina,Regional
Las Palmas (Córdoba),Argentine Fourth Division,Argentina,Regional
General Belgrano (SR),Argentine Fifth Division,Argentina,Regional
9 de Julio (Rafaela),Argentine Fourth Division,Argentina,Regional
Argentino (Rosario),Argentine Fifth Division,Argentina,Regional
Germinal (Rawson),Argentine Fourth Division,Argentina,Regional
Atl. Trinidad (SJ),Argentine Fourth Division,Argentina,Regional
Bella Vista (BB),Argentine Fourth Division,Argentina,Regional
Dep. Achirense,Argentine Fifth Division,Argentina,Regional
Real Pilar,Argentine Fourth Division,Argentina,Regional
Tiro Federal (Rosario),Argentine Fifth Division,Argentina,Regional
Claypole,Argentine Fourth Division,Argentina,Regional
Juv. Unida,Argentine Fifth Division,Argentina,Regional
Yupanqui,Argentine Fifth Division,Argentina,Regional
Américo Tesorieri,Argentine Fourth Division,Argentina,Regional
Andino Sport Club,Argentine Fifth Division,Argentina,Regional
9 de Julio (Morteros),Argentine Fifth Division,Argentina,Regional
San Jorge (Tucumán),Argentine Fifth Division,Argentina,Regional
Sp. Rivadavia (VT),Argentine Fifth Division,Argentina,Regional
Ben Hur (Rafaela),Argentine Fourth Division,Argentina,Regional
Dep. Aguilares,Argentine Fifth Division,Argentina,Regional
Ctral. Ballester,Argentine Fifth Division,Argentina,Regional
Juv. Alianza (SJ),Argentine Fifth Division,Argentina,Regional
Ferro (Olavarría),Argentine Fourth Division,Argentina,Regional
Unión (VK),Argentine Fifth Division,Argentina,Regional
Gutiérrez S.C.,Argentine Fourth Division,Argentina,Regional
Atl. San Jorge (SF),Argentine Fourth Division,Argentina,Regional
Tiro Federal (Morteros),Argentine Fifth Division,Argentina,Regional
Atl. Lugano,Argentine Fifth Division,Argentina,Regional
Puerto Nuevo,Argentine Fifth Division,Argentina,Regional
Dep. Paraguayo,Argentine Fifth Division,Argentina,Regional
El Linqueño,Argentine Fifth Division,Argentina,Regional
Alianza (Cutral Co),Argentine Fifth Division,Argentina,Regional
Unión Aconquija,Argentine Fifth Division,Argentina,Regional
Dep. Guaymallén,Argentine Fifth Division,Argentina,Regional
Atl. Policial,Argentine Fifth Division,Argentina,Regional
Centro Español,Argentine Fifth Division,Argentina,Regional
Muñiz,Argentine Fifth Division,Argentina,Regional
Racing (Trelew),Argentine Fifth Division,Argentina,Regional
Luján S.C.,Argentine Fifth Division,Argentina,Regional
Cruz del Sur,Argentine Fourth Division,Argentina,Regional
Sarmiento (La Banda),Argentine Fifth Division,Argentina,Regional
All Boys (Santa Rosa),Argentine Fourth Division,Argentina,Regional
Atl. Carcarañá,Argentine Fifth Division,Argentina,Regional
Vélez (San Ramón),Argentine Fifth Division,Argentina,Regional
Jorge Newbery (Aguilares),Argentine Fifth Division,Argentina,Regional
Atl. Amalia (Tucumán),Argentine Fifth Division,Argentina,Regional
Unión Santiago,Argentine Fourth Division,Argentina,Regional
Bella Vista (Tucumán),Argentine Fifth Division,Argentina,Regional
Unión del Norte (Tucumán),Argentine Fourth Division,Argentina,Regional
Huracán (Corrientes),Argentine Fifth Division,Argentina,Regional
Defensores (Salto),Argentine Fourth Division,Argentina,Regional
Coronel Aguirre,Argentine Fifth Division,Argentina,Regional
F.A.D.E.P. (Mendoza),Argentine Fourth Division,Argentina,Regional
Argentino (Mza),Argentine Fifth Division,Argentina,Regional
Argentino Peñarol,Argentine Fifth Division,Argentina,Regional
Atl. Pellegrini (Salta),Argentine Fifth Division,Argentina,Regional
Sarmiento (Leones),Argentine Fifth Division,Argentina,Local
Mitre (Salta),Argentine Fifth Division,Argentina,Local
La Emilia,Argentine Fifth Division,Argentina,Local
Belgrano (Paraná),Argentine Fifth Division,Argentina,Local
Social Lastenia,Argentine Fifth Division,Argentina,Local
La Amistad (Cipolletti),Argentine Fifth Division,Argentina,Local
Everton (La Plata),Argentine Fourth Division,Argentina,Local
Huracán (TA),Argentine Fifth Division,Argentina,Local
Sp. del Bono,Argentine Fifth Division,Argentina,Local
Atl. Uruguay,Argentine Fifth Division,Argentina,Local
Tiro Federal (BB),Argentine Fifth Division,Argentina,Local
Ferroviario (Corrientes),Argentine Fifth Division,Argentina,Local
Independiente (VO),Argentine Fifth Division,Argentina,Local
Juventud (Pergamino),Argentine Fourth Division,Argentina,Local
Huracán (IW),Argentine Fifth Division,Argentina,Local
Sporting (Punta Alta),Argentine Fourth Division,Argentina,Local
Maronese,Argentine Fifth Division,Argentina,Local
Atl. Palmira,Argentine Fifth Division,Argentina,Local
Club Mercedes,Argentine Fifth Division,Argentina,Local
Dep. Montecaseros,Argentine Fifth Division,Argentina,Local
Sp. Barracas (Colón),Argentine Fifth Division,Argentina,Local
Dep. Tabacal,Argentine Fifth Division,Argentina,Local
Andes F.C.,Argentine Fifth Division,Argentina,Local
Independiente (Fernández),Argentine Fifth Division,Argentina,Local
Alte. Brown (Lules),Argentine Fifth Division,Argentina,Local
Dep. Rincón,Argentine Fourth Division,Argentina,Local
Alte. Brown (Malagueño),Argentine Fifth Division,Argentina,Local
Villa San Antonio (Salta),Argentine Fourth Division,Argentina,Local
La Florida (Tucumán),Argentine Fifth Division,Argentina,Local
Jorge Newbery (VM),Argentine Fifth Division,Argentina,Local
Jorge Newbery (VT),Argentine Fifth Division,Argentina,Local
Bartolomé Mitre (Posadas),Argentine Fifth Division,Argentina,Local
9 de Julio (Río Tercero),Argentine Fourth Division,Argentina,Local
Sports Salto,Argentine Fifth Division,Argentina,Local
Unión (Crespo),Argentine Fifth Division,Argentina,Local
A.D.I.P. (LP),Argentine Fifth Division,Argentina,Local
Rosario Puerto Belgrano,Argentine Fifth Division,Argentina,Local
Colegiales (Concordia),Argentine Fifth Division,Argentina,Local
Jorge Gibson Brown,Argentine Fifth Division,Argentina,Local
Herminio Arrieta (Jujuy),Argentine Fifth Division,Argentina,Local
San Lorenzo (MdP),Argentine Fifth Division,Argentina,Local
Independiente (RC),Argentine Fifth Division,Argentina,Local
Central Norte (Tucumán),Argentine Fifth Division,Argentina,Local
Atl. Baradero,Argentine Fifth Division,Argentina,Local
Pacífico (Neuquén),Argentine Fifth Division,Argentina,Local
Comunicaciones (Ctes),Argentine Fifth Division,Argentina,Local
Dep. Rosamonte,Argentine Fifth Division,Argentina,Local
Villa Belgrano (Junín),Argentine Fifth Division,Argentina,Local
Atl. Adelante,Argentine Fifth Division,Argentina,Local
Viale F.B.C.,Argentine Fifth Division,Argentina,Local
Dep. Fontana,Argentine Fourth Division,Argentina,Local
Embajadores (Olavarría),Argentine Fourth Division,Argentina,Local
Sp. Baradero,Argentine Fifth Division,Argentina,Local
A.D.I.U.R. (Rosario),Argentine Fifth Division,Argentina,Local
El Gran Porvenir (SCT),Argentine Fourth Division,Argentina,Local
C.R.I.B.A. (LP),Argentine Fifth Division,Argentina,Local
Acción Juvenil (GD),Argentine Fifth Division,Argentina,Local
Peñarol (Salta),Argentine Fifth Division,Argentina,Local
Proyecto Crecer,Argentine Fifth Division,Argentina,Local
Argentino (Pergamino),Argentine Fifth Division,Argentina,Local
Andes Talleres,Argentine Fifth Division,Argentina,Local
Mariano Moreno (Junín),Argentine Fourth Division,Argentina,Local
Ararat-Armenia,Armenian High League,Armenia,National
Alashkert,Armenian High League,Armenia,National
Pyunik,Armenian High League,Armenia,National
Gandzasar,Armenian First League,Armenia,National
Urartu Ye.,Armenian High League,Armenia,National
Shirak,Armenian First League,Armenia,National
Noah,Armenian High League,Armenia,National
Ararat,Armenian High League,Armenia,National
Lori,Armenian Lower League,Armenia,National
RCA,Aruban Division di Honor,Aruba,National
Mika,Armenian Lower League,Armenia,Regional
Dakota,Aruban Division di Honor,Aruba,National
Nacional (ARU),Aruban Division di Honor,Aruba,National
Estrella,Aruban Division di Honor,Aruba,National
FC Van,Armenian High League,Armenia,Regional
Ararat-Armenia-2,Armenian First League,Armenia,Regional
SV Britannia,Aruban Division di Honor,Aruba,National
Alashkert-2,Armenian First League,Armenia,Regional
Bubali,Aruban Division di Honor,Aruba,National
West Armenia,Armenian Lower League,Armenia,Regional
Pyunik-2,Armenian First League,Armenia,Regional
Sevan FC,Armenian High League,Armenia,Regional
Brazil Juniors,Aruban Division di Honor,Aruba,National
Gandzasar-2,-,Armenia,Regional
Urartu-2,Armenian First League,Armenia,Regional
Urartu-3,-,Armenia,Regional
Shengavit,-,Armenia,Regional
Porto Caravel,Aruban Division di Honor,Aruba,National
Shirak-2,Armenian Lower League,Armenia,Local
La Fama,Aruban Division Uno,Aruba,National
Ulisses FC,Armenian Lower League,Armenia,Local
Caiquetio,Aruban Division di Honor,Aruba,National
River Plate (ARU),Aruban Division Uno,Aruba,National
Ararat-2,Armenian Lower League,Armenia,Local
United (ARU),Aruban Division di Honor,Aruba,National
L. A. Goris,Armenian First League,Armenia,Local
CD Rooi Afo,Aruban Division Uno,Aruba,National
Juventud TL,Aruban Division Uno,Aruba,National
Mika-2,Armenian Lower League,Armenia,Local
Erebuni,-,Armenia,Local
BKMA,Armenian High League,Armenia,Local
Kotayk,Armenian Lower League,Armenia,Local
San Nicolaas,Aruban Division Uno,Aruba,National
Jong Aruba,Aruban Division Uno,Aruba,National
Noravank,Armenian High League,Armenia,Local
Sporting (ARU),Aruban Division Uno,Aruba,Regional
Sportboys,Aruban Division Uno,Aruba,Regional
Ulisses-2,Armenian Lower League,Armenia,Local
Avan Academy,Armenian Lower League,Armenia,Obscure
Pyunik-3,-,Armenia,Obscure
Estudiantes (ARU),Aruban Division Uno,Aruba,Regional
BKMA-2,Armenian First League,Armenia,Obscure
Prometey Yerevan,-,Armenia,Obscure
Lokomotiv Yerevan,Armenian Lower League,Armenia,Obscure
Arai (ARM),-,Armenia,Obscure
Aragats A.,Armenian Lower League,Armenia,Obscure
Yerevan-2,-,Armenia,Obscure
Dilijan,Armenian Lower League,Armenia,Obscure
Torpedo Ye.,Armenian Lower League,Armenia,Obscure
Makaravank,-,Armenia,Obscure
Ani Y.,Armenian Lower League,Armenia,Obscure
Melbourne Victory,Isuzu UTE A-League,Australia,Continental
Sydney FC,Isuzu UTE A-League,Australia,Continental
